Order_ID,Order_Date,Ship_Date,Ship_Mode,Order_Status,Customer_ID,Customer_Name,Customer_Segment,Region,State,City,Product_ID,Product_Name,Category,Sub_Category,Unit_Price,Quantity,Discount,Sales,Revenue,Profit,Payment_Method,,Profit_Margin_%
ORD-100010,16-07-2024,18-07-2024,First Class,Delivered,CUST-1276,John Wright,Consumer,South,Georgia,Augusta,PRD-1220,Haircare Item 21,Beauty,Haircare,24.19,6,0.1,130.63,783.78,33.3,Cash,,0.254918472
ORD-100011,13-07-2021,15-07-2021,Standard Class,Delivered,CUST-2765,Daniel Green,Consumer,North,New York,New York City,PRD-1192,Bedding Item 93,Home & Kitchen,Bedding,106.98,1,0.05,101.63,101.63,23.99,PayPal,,0.236052347
ORD-100012,27-06-2023,02-07-2023,Standard Class,Returned,CUST-4506,Kevin Miller,Consumer,Central,Missouri,Kansas City,PRD-1099,Beverages Item 100,Food & Beverage,Beverages,30.17,1,0.05,28.66,28.66,2.91,Cash,,0.101535241
ORD-100013,28-06-2022,05-07-2022,Standard Class,Returned,CUST-4215,Ashley Young,Consumer,Central,Iowa,Des Moines,PRD-1103,Dairy Item 4,Food & Beverage,Dairy,58.19,2,0.05,110.56,221.12,39.44,Credit Card,,0.356729378
ORD-100014,27-10-2023,03-11-2023,Standard Class,Pending,CUST-3175,William Brown,Small Business,North,Pennsylvania,Philadelphia,PRD-1039,Women's Apparel Item 40,Clothing,Women's Apparel,38.77,5,0,193.85,969.25,58.15,Gift Card,,0.299974207
ORD-100015,10-04-2024,14-04-2024,Standard Class,Cancelled,CUST-2295,Thomas White,Corporate,East,Michigan,Grand Rapids,PRD-1191,Appliances Item 92,Home & Kitchen,Appliances,261.75,2,0.25,392.62,785.24,83.67,Credit Card,,0.213106821
ORD-100016,24-07-2021,26-07-2021,Second Class,Pending,CUST-1873,Amanda Thompson,Consumer,East,Ohio,Columbus,PRD-1163,Textbooks Item 64,Books,Textbooks,37.86,2,0,75.72,151.44,33.62,Bank Transfer,,0.444004226
ORD-100017,10-02-2024,13-02-2024,Standard Class,Delivered,CUST-3717,Michael Wilson,Consumer,North,Massachusetts,Boston,PRD-1136,Team Sports Item 37,Sports,Team Sports,138.22,1,0.1,124.4,124.4,49.21,Gift Card,,0.395578778
ORD-100018,09-07-2021,13-07-2021,Second Class,Delivered,CUST-4397,Karen Williams,Consumer,South,Georgia,Atlanta,PRD-1239,Personal Care Item 40,Beauty,Personal Care,67.01,1,0,67.01,67.01,27.26,Debit Card,,0.406804954
ORD-100019,07-04-2024,11-04-2024,First Class,Delivered,CUST-2760,David Williams,Consumer,North,New Jersey,Newark,PRD-1092,Snacks Item 93,Food & Beverage,Snacks,47.25,5,0.05,224.44,1122.2,69.5,Debit Card,,0.309659597
ORD-100020,29-11-2021,06-12-2021,Standard Class,Returned,CUST-4320,Susan Flores,Consumer,East,Illinois,Rockford,PRD-1103,Dairy Item 4,Food & Beverage,Dairy,47.67,1,0.2,38.14,38.14,7.58,Debit Card,,0.198741479
ORD-100021,18-12-2022,21-12-2022,Same Day,Delivered,CUST-4257,Joseph Harris,Consumer,South,North Carolina,Raleigh,PRD-1122,Fitness Equipment Item 23,Sports,Fitness Equipment,220.42,2,0.1,396.76,793.52,155.59,PayPal,,0.392151427
ORD-100022,19-06-2022,21-06-2022,Second Class,Delivered,CUST-4942,Thomas Williams,Consumer,West,Oregon,Eugene,PRD-1172,Children's Books Item 73,Books,Children's Books,78.82,1,0.2,63.06,63.06,4.74,Credit Card,,0.075166508
ORD-100023,01-12-2023,08-12-2023,Standard Class,Pending,CUST-3205,Richard Torres,Consumer,East,Wisconsin,Madison,PRD-1046,Kids' Apparel Item 47,Clothing,Kids' Apparel,84.23,2,0.05,160.04,320.08,30.31,Debit Card,,0.189390152
ORD-100024,16-02-2023,20-02-2023,Second Class,Cancelled,CUST-4697,Susan Evans,Corporate,West,Arizona,Phoenix,PRD-1133,Team Sports Item 34,Sports,Team Sports,266.48,2,0.1,479.66,959.32,120.9,Cash,,0.252053538
ORD-100025,28-08-2023,02-09-2023,First Class,Delivered,CUST-4931,William Garcia,Consumer,Central,Nebraska,Omaha,PRD-1103,Dairy Item 4,Food & Beverage,Dairy,48.78,1,0,48.78,48.78,21.66,Gift Card,,0.44403444
ORD-100026,22-07-2023,25-07-2023,Standard Class,Pending,CUST-3579,Stephanie Jackson,Corporate,West,Nevada,Reno,PRD-1101,Beverages Item 2,Food & Beverage,Beverages,41.88,5,0.2,167.52,837.6,34.14,Cash,,0.203796562
ORD-100027,27-11-2023,30-11-2023,First Class,Pending,CUST-3283,Sarah Davis,Consumer,West,Arizona,Mesa,PRD-1172,Children's Books Item 73,Books,Children's Books,66.13,5,0.05,314.12,1570.6,130.53,Cash,,0.415541831
ORD-100028,31-08-2023,03-09-2023,Standard Class,Delivered,CUST-4079,Sarah Moore,Home Office,Central,Iowa,Davenport,PRD-1105,Dairy Item 6,Food & Beverage,Dairy,6.49,1,0,6.49,6.49,1.29,Gift Card,,0.198767334
ORD-100029,19-04-2022,22-04-2022,First Class,Cancelled,CUST-1625,Jessica Jones,Consumer,East,Wisconsin,Madison,PRD-1181,Cookware Item 82,Home & Kitchen,Cookware,334.83,2,0.15,569.21,1138.42,244.78,Credit Card,,0.430034609
ORD-100030,19-02-2023,22-02-2023,Second Class,Returned,CUST-4861,Daniel Allen,Home Office,West,Arizona,Mesa,PRD-1109,Bakery Item 10,Food & Beverage,Bakery,17.83,2,0,35.66,71.32,11.68,Cash,,0.327537858
ORD-100031,19-09-2021,26-09-2021,First Class,Returned,CUST-3187,Mary Hill,Corporate,North,New York,Albany,PRD-1189,Appliances Item 90,Home & Kitchen,Appliances,80.87,1,0,80.87,80.87,20.08,PayPal,,0.24829974
ORD-100032,24-07-2022,29-07-2022,Standard Class,Delivered,CUST-4407,Anthony Thompson,Home Office,West,California,Los Angeles,PRD-1161,Non-Fiction Item 62,Books,Non-Fiction,10.15,8,0,81.2,649.6,7.43,Debit Card,,0.091502463
ORD-100033,26-06-2024,28-06-2024,Same Day,Delivered,CUST-1517,Emily Davis,Corporate,South,North Carolina,Greensboro,PRD-1133,Team Sports Item 34,Sports,Team Sports,369.45,8,0.15,2512.26,20098.08,923.97,Debit Card,,0.367784385
ORD-100034,31-03-2024,01-04-2024,Second Class,Pending,CUST-2277,Stephanie Nguyen,Consumer,South,Texas,Dallas,PRD-1047,Kids' Apparel Item 48,Clothing,Kids' Apparel,154.1,1,0.3,107.87,107.87,19.93,PayPal,,0.184759433
ORD-100035,29-01-2023,31-01-2023,First Class,Cancelled,CUST-3652,Nancy Smith,Home Office,West,California,Sacramento,PRD-1173,Children's Books Item 74,Books,Children's Books,16.47,1,0.05,15.65,15.65,5.02,Gift Card,,0.320766773
ORD-100036,18-09-2023,21-09-2023,Standard Class,Delivered,CUST-4382,Brian Moore,Consumer,South,Texas,Austin,PRD-1219,Haircare Item 20,Beauty,Haircare,87.63,3,0,262.89,788.67,69.11,PayPal,,0.262885618
ORD-100037,28-12-2022,02-01-2023,Second Class,Returned,CUST-2394,Karen Phillips,Corporate,East,Wisconsin,Milwaukee,PRD-1091,Snacks Item 92,Food & Beverage,Snacks,43.76,2,0.15,74.39,148.78,24.96,Bank Transfer,,0.335528969
ORD-100038,05-02-2021,07-02-2021,Standard Class,Delivered,CUST-1907,Margaret Martin,Consumer,Central,Nebraska,Lincoln,PRD-1173,Children's Books Item 74,Books,Children's Books,46.28,2,0.05,87.93,175.86,17.01,Debit Card,,0.193449335
ORD-100039,09-10-2022,11-10-2022,Standard Class,Delivered,CUST-3194,Susan Jackson,Consumer,West,Oregon,Eugene,PRD-1121,Fitness Equipment Item 22,Sports,Fitness Equipment,188.3,2,0,376.6,753.2,128.78,Debit Card,,0.341954328
ORD-100040,08-02-2024,11-02-2024,First Class,Returned,CUST-4866,David Hall,Consumer,North,Massachusetts,Worcester,PRD-1231,Fragrances Item 32,Beauty,Fragrances,54.4,8,0,435.2,3481.6,173.57,Credit Card,,0.398828125
ORD-100041,05-10-2023,07-10-2023,Standard Class,Returned,CUST-3578,Patricia Taylor,Consumer,Central,Nebraska,Omaha,PRD-1094,Snacks Item 95,Food & Beverage,Snacks,46.34,3,0.15,118.17,354.51,19.32,Gift Card,,0.163493272
ORD-100042,01-09-2022,06-09-2022,Standard Class,Cancelled,CUST-2756,Lisa Roberts,Corporate,Central,Missouri,Kansas City,PRD-1107,Dairy Item 8,Food & Beverage,Dairy,6.71,1,0.1,6.04,6.04,0.83,Cash,,0.137417219
ORD-100043,21-08-2023,24-08-2023,First Class,Delivered,CUST-1948,Charles Young,Corporate,West,California,San Francisco,PRD-1149,Swimming Item 50,Sports,Swimming,485.28,1,0,485.28,485.28,79.19,Debit Card,,0.163184141
ORD-100044,27-05-2021,29-05-2021,Standard Class,Delivered,CUST-4246,Lisa Phillips,Corporate,Central,Nebraska,Lincoln,PRD-1053,Footwear Item 54,Clothing,Footwear,82.98,2,0,165.96,331.92,46.43,Cash,,0.279766209
ORD-100045,04-06-2023,08-06-2023,Standard Class,Cancelled,CUST-3472,Thomas Johnson,Consumer,Central,Minnesota,Minneapolis,PRD-1144,Swimming Item 45,Sports,Swimming,461.42,1,0.05,438.35,438.35,106.79,PayPal,,0.243618113
ORD-100046,12-06-2023,16-06-2023,Standard Class,Delivered,CUST-3014,Jennifer Baker,Consumer,East,Indiana,Evansville,PRD-1038,Women's Apparel Item 39,Clothing,Women's Apparel,108.79,2,0.1,195.82,391.64,44.68,Gift Card,,0.228168726
ORD-100047,07-10-2022,10-10-2022,Standard Class,Cancelled,CUST-1474,Margaret Rivera,Home Office,North,Massachusetts,Worcester,PRD-1181,Cookware Item 82,Home & Kitchen,Cookware,212.19,3,0.05,604.74,1814.22,147.29,Credit Card,,0.243559216
ORD-100048,26-09-2021,03-10-2021,Standard Class,Delivered,CUST-2794,Jason Davis,Consumer,Central,Kansas,Topeka,PRD-1076,Sofas Item 77,Furniture,Sofas,99.42,2,0,198.84,397.68,77.81,Credit Card,,0.391319654
ORD-100049,19-08-2024,24-08-2024,First Class,Delivered,CUST-3041,Charles Rivera,Corporate,West,Nevada,Reno,PRD-1112,Bakery Item 13,Food & Beverage,Bakery,10.39,1,0.1,9.35,9.35,3.33,Debit Card,,0.356149733
ORD-100050,30-04-2023,03-05-2023,Same Day,Delivered,CUST-4226,Amanda Moore,Home Office,East,Indiana,Evansville,PRD-1219,Haircare Item 20,Beauty,Haircare,83.09,1,0.1,74.78,74.78,21.02,Cash,,0.281091201
ORD-100051,29-11-2024,02-12-2024,Standard Class,Returned,CUST-2568,Joseph Flores,Consumer,West,Nevada,Reno,PRD-1078,Beds Item 79,Furniture,Beds,259.27,8,0,2074.16,16593.28,242.96,Cash,,0.117136576
ORD-100052,01-02-2021,05-02-2021,First Class,Returned,CUST-2679,Barbara Jones,Consumer,East,Indiana,Evansville,PRD-1182,Cookware Item 83,Home & Kitchen,Cookware,342.41,5,0,1712.05,8560.25,337.56,Bank Transfer,,0.197167139
ORD-100053,14-01-2024,15-01-2024,Standard Class,Returned,CUST-1280,Sarah Young,Small Business,North,Connecticut,Bridgeport,PRD-1049,Footwear Item 50,Clothing,Footwear,176.56,5,0,882.8,4414,330.67,PayPal,,0.374569551
ORD-100054,26-10-2021,29-10-2021,First Class,Returned,CUST-2687,Stephanie Thomas,Consumer,North,Massachusetts,Worcester,PRD-1112,Bakery Item 13,Food & Beverage,Bakery,10.3,2,0,20.6,41.2,3.59,Credit Card,,0.174271845
ORD-100055,13-08-2022,17-08-2022,Standard Class,Delivered,CUST-1647,Robert Adams,Small Business,Central,Nebraska,Bellevue,PRD-1195,Bedding Item 96,Home & Kitchen,Bedding,339.67,1,0,339.67,339.67,87.9,Debit Card,,0.258780581
ORD-100056,23-03-2024,26-03-2024,First Class,Delivered,CUST-3864,Charles Johnson,Small Business,West,Oregon,Portland,PRD-1029,Cameras Item 30,Electronics,Cameras,919.27,5,0,4596.35,22981.75,1726.29,Gift Card,,0.375578448
ORD-100057,27-07-2024,29-07-2024,Standard Class,Cancelled,CUST-2026,David Miller,Small Business,North,New Jersey,Jersey City,PRD-1026,Cameras Item 27,Electronics,Cameras,1331.63,1,0,1331.63,1331.63,474.82,Debit Card,,0.356570519
ORD-100058,20-01-2023,24-01-2023,Second Class,Returned,CUST-4741,Karen Anderson,Consumer,West,Oregon,Eugene,PRD-1153,Fiction Item 54,Books,Fiction,77.22,1,0.3,54.05,54.05,10.76,Bank Transfer,,0.199074931
ORD-100059,16-02-2024,19-02-2024,Second Class,Cancelled,CUST-4238,Margaret Smith,Consumer,North,Connecticut,Hartford,PRD-1147,Swimming Item 48,Sports,Swimming,496.11,6,0,2976.66,17859.96,495.66,Credit Card,,0.166515491
ORD-100060,03-11-2022,10-11-2022,Standard Class,Delivered,CUST-1906,Robert Nelson,Small Business,East,Illinois,Chicago,PRD-1060,Office Chairs Item 61,Furniture,Office Chairs,512.2,2,0,1024.4,2048.8,418.25,Debit Card,,0.408287778
ORD-100061,05-10-2024,12-10-2024,Standard Class,Delivered,CUST-3852,Melissa Flores,Corporate,South,North Carolina,Greensboro,PRD-1052,Footwear Item 53,Clothing,Footwear,107.95,8,0,863.6,6908.8,187.48,Cash,,0.217091246
ORD-100062,13-01-2023,15-01-2023,Second Class,Delivered,CUST-3808,Betty Mitchell,Small Business,East,Ohio,Cleveland,PRD-1126,Outdoor Gear Item 27,Sports,Outdoor Gear,570.17,4,0,2280.68,9122.72,361.44,Bank Transfer,,0.15847905
ORD-100063,14-04-2021,19-04-2021,Same Day,Cancelled,CUST-1997,David Roberts,Consumer,Central,Kansas,Topeka,PRD-1098,Beverages Item 99,Food & Beverage,Beverages,46.91,4,0.1,168.88,675.52,30.84,Debit Card,,0.182614874
ORD-100064,29-05-2022,03-06-2022,Standard Class,Delivered,CUST-1450,Mary Wilson,Consumer,South,Virginia,Richmond,PRD-1008,Laptops Item 9,Electronics,Laptops,141.7,3,0.05,403.84,1211.52,143.73,Cash,,0.355908281
ORD-100065,18-11-2023,22-11-2023,First Class,Delivered,CUST-2851,Amanda Harris,Small Business,North,Massachusetts,Worcester,PRD-1210,Skincare Item 11,Beauty,Skincare,149.8,4,0.05,569.24,2276.96,68.28,Bank Transfer,,0.119949406
ORD-100066,15-06-2021,18-06-2021,Standard Class,Pending,CUST-1607,Robert Wilson,Consumer,Central,Minnesota,Rochester,PRD-1172,Children's Books Item 73,Books,Children's Books,44.79,2,0.1,80.62,161.24,9.41,Bank Transfer,,0.116720417
ORD-100067,26-08-2024,31-08-2024,Second Class,Returned,CUST-3258,Jessica Green,Consumer,South,North Carolina,Raleigh,PRD-1231,Fragrances Item 32,Beauty,Fragrances,110.79,1,0,110.79,110.79,19.31,Debit Card,,0.174293709
ORD-100068,18-05-2021,20-05-2021,First Class,Pending,CUST-1349,Jennifer Green,Consumer,East,Michigan,Lansing,PRD-1028,Cameras Item 29,Electronics,Cameras,1032.95,3,0.05,2943.91,8831.73,1187.09,Cash,,0.403235833
ORD-100069,16-04-2021,23-04-2021,First Class,Cancelled,CUST-3459,Lisa Scott,Consumer,Central,Kansas,Wichita,PRD-1216,Haircare Item 17,Beauty,Haircare,55.77,2,0,111.54,223.08,20.42,Debit Card,,0.183073337
ORD-100070,27-06-2024,01-07-2024,Standard Class,Pending,CUST-3632,Kevin Johnson,Corporate,East,Ohio,Columbus,PRD-1134,Team Sports Item 35,Sports,Team Sports,220.35,1,0,220.35,220.35,71.22,Credit Card,,0.32321307
ORD-100071,04-03-2021,06-03-2021,Second Class,Delivered,CUST-3172,Jessica Nguyen,Consumer,East,Michigan,Grand Rapids,PRD-1136,Team Sports Item 37,Sports,Team Sports,363.79,5,0,1818.95,9094.75,653.26,Credit Card,,0.359141263
ORD-100072,27-06-2023,01-07-2023,Standard Class,Cancelled,CUST-2989,Rebecca Adams,Consumer,South,Virginia,Virginia Beach,PRD-1168,Children's Books Item 69,Books,Children's Books,26.24,3,0.05,74.78,224.34,24.44,Credit Card,,0.326825354
ORD-100073,23-04-2021,24-04-2021,First Class,Delivered,CUST-2234,Jessica Wilson,Home Office,East,Indiana,Indianapolis,PRD-1023,Headphones Item 24,Electronics,Headphones,803.65,1,0.05,763.47,763.47,126.08,Gift Card,,0.165140739
ORD-100074,28-05-2021,31-05-2021,Standard Class,Cancelled,CUST-4039,John Green,Consumer,North,New Jersey,Trenton,PRD-1207,Storage Item 8,Home & Kitchen,Storage,286.7,2,0,573.4,1146.8,50.3,PayPal,,0.087722358
ORD-100075,01-08-2023,06-08-2023,Standard Class,Pending,CUST-4767,Betty Garcia,Consumer,North,Pennsylvania,Pittsburgh,PRD-1204,Storage Item 5,Home & Kitchen,Storage,164.35,1,0,164.35,164.35,33.4,Debit Card,,0.203224825
ORD-100076,22-08-2021,26-08-2021,Standard Class,Cancelled,CUST-1794,Daniel Scott,Corporate,South,Florida,Miami,PRD-1073,Sofas Item 74,Furniture,Sofas,326.37,1,0.15,277.41,277.41,29.93,Bank Transfer,,0.107890847
ORD-100077,01-04-2024,04-04-2024,Standard Class,Returned,CUST-4785,Stephanie Evans,Consumer,East,Michigan,Grand Rapids,PRD-1051,Footwear Item 52,Clothing,Footwear,161.53,4,0.1,581.51,2326.04,122.24,Credit Card,,0.210211346
ORD-100078,19-03-2021,21-03-2021,Second Class,Delivered,CUST-4406,Charles Jones,Corporate,North,Massachusetts,Springfield,PRD-1202,Cleaning Item 3,Home & Kitchen,Cleaning,226.18,4,0.2,723.78,2895.12,89.17,Gift Card,,0.12320042
ORD-100079,24-05-2024,27-05-2024,Standard Class,Delivered,CUST-1617,Patricia Adams,Consumer,East,Ohio,Cincinnati,PRD-1061,Office Chairs Item 62,Furniture,Office Chairs,1084.82,10,0.05,10305.79,103057.9,3149.74,PayPal,,0.305628195
ORD-100080,05-03-2023,08-03-2023,First Class,Delivered,CUST-2385,Rebecca Brown,Home Office,East,Ohio,Cleveland,PRD-1059,Accessories Item 60,Clothing,Accessories,102.78,1,0.2,82.22,82.22,17.96,Gift Card,,0.218438336
ORD-100081,16-06-2021,20-06-2021,Same Day,Cancelled,CUST-1579,Daniel Allen,Small Business,West,Washington,Tacoma,PRD-1046,Kids' Apparel Item 47,Clothing,Kids' Apparel,100.4,4,0.15,341.36,1365.44,111.95,Bank Transfer,,0.327952894
ORD-100082,11-07-2021,15-07-2021,Second Class,Cancelled,CUST-2734,Amanda Torres,Consumer,East,Michigan,Detroit,PRD-1169,Children's Books Item 70,Books,Children's Books,21.99,1,0,21.99,21.99,8.63,Credit Card,,0.392451114
ORD-100083,15-12-2023,16-12-2023,First Class,Returned,CUST-2379,George Wilson,Corporate,South,Florida,Orlando,PRD-1078,Beds Item 79,Furniture,Beds,663.42,3,0,1990.26,5970.78,486.33,PayPal,,0.244355009
ORD-100084,25-04-2022,29-04-2022,First Class,Delivered,CUST-2267,Emily Jackson,Consumer,Central,Iowa,Cedar Rapids,PRD-1142,Cycling Item 43,Sports,Cycling,323.56,8,0.15,2200.21,17601.68,828.3,Debit Card,,0.376464065
ORD-100085,06-08-2024,09-08-2024,First Class,Delivered,CUST-2520,Kevin Miller,Corporate,Central,Missouri,St. Louis,PRD-1038,Women's Apparel Item 39,Clothing,Women's Apparel,117.84,2,0.2,188.54,377.08,10.74,Debit Card,,0.056964039
ORD-100086,24-02-2021,27-02-2021,First Class,Returned,CUST-2623,Amanda Torres,Consumer,North,New Jersey,Newark,PRD-1012,Tablets Item 13,Electronics,Tablets,1518.56,3,0.15,3872.33,11616.99,506.93,PayPal,,0.130910847
ORD-100087,26-11-2024,01-12-2024,Standard Class,Delivered,CUST-4108,Emily Adams,Corporate,North,New York,Buffalo,PRD-1100,Beverages Item 1,Food & Beverage,Beverages,56.53,3,0.05,161.11,483.33,59.16,Debit Card,,0.367202532
ORD-100088,04-05-2022,07-05-2022,Second Class,Delivered,CUST-4251,George Nelson,Consumer,West,Arizona,Mesa,PRD-1028,Cameras Item 29,Electronics,Cameras,473.39,1,0.05,449.72,449.72,138.28,Debit Card,,0.30748021
ORD-100089,22-09-2024,26-09-2024,First Class,Delivered,CUST-3144,Betty Jones,Small Business,Central,Minnesota,Rochester,PRD-1021,Headphones Item 22,Electronics,Headphones,126.19,2,0,252.38,504.76,89.98,PayPal,,0.356525874
ORD-100090,09-05-2022,13-05-2022,Standard Class,Delivered,CUST-3573,Michael Gomez,Corporate,East,Michigan,Detroit,PRD-1176,Comics Item 77,Books,Comics,66.01,1,0.15,56.11,56.11,14.13,Bank Transfer,,0.251826769
ORD-100091,04-10-2021,06-10-2021,Standard Class,Delivered,CUST-4179,Ashley Williams,Consumer,North,Pennsylvania,Philadelphia,PRD-1166,Textbooks Item 67,Books,Textbooks,34.87,4,0.05,132.51,530.04,12.4,Bank Transfer,,0.093577843
ORD-100092,08-04-2021,13-04-2021,Standard Class,Delivered,CUST-2359,Karen Davis,Home Office,West,Nevada,Henderson,PRD-1230,Fragrances Item 31,Beauty,Fragrances,146.19,2,0.05,277.76,555.52,117.21,Gift Card,,0.421983007
ORD-100093,20-05-2023,22-05-2023,Second Class,Delivered,CUST-3467,Susan Mitchell,Consumer,North,New York,Buffalo,PRD-1135,Team Sports Item 36,Sports,Team Sports,367.53,2,0.1,661.55,1323.1,138.97,Credit Card,,0.210067266
ORD-100094,13-06-2024,20-06-2024,First Class,Delivered,CUST-2124,Patricia Jones,Corporate,West,Oregon,Eugene,PRD-1061,Office Chairs Item 62,Furniture,Office Chairs,1285.11,3,0.05,3662.56,10987.68,464.07,Debit Card,,0.126706457
ORD-100095,12-01-2023,15-01-2023,Standard Class,Delivered,CUST-3323,John Phillips,Consumer,West,Oregon,Salem,PRD-1214,Skincare Item 15,Beauty,Skincare,24.97,2,0,49.94,99.88,9.14,Credit Card,,0.183019624
ORD-100096,20-10-2023,24-10-2023,Same Day,Pending,CUST-4741,Kevin Davis,Consumer,East,Illinois,Chicago,PRD-1139,Cycling Item 40,Sports,Cycling,86.74,5,0.05,412.01,2060.05,169.96,Cash,,0.412514259
ORD-100097,17-10-2022,21-10-2022,Standard Class,Cancelled,CUST-3906,Robert Carter,Corporate,East,Michigan,Lansing,PRD-1076,Sofas Item 77,Furniture,Sofas,398.42,10,0.15,3386.57,33865.7,567.56,Cash,,0.167591398
ORD-100098,18-03-2024,21-03-2024,Second Class,Returned,CUST-4291,Kevin Wilson,Corporate,North,New York,Buffalo,PRD-1202,Cleaning Item 3,Home & Kitchen,Cleaning,170.21,2,0.1,306.38,612.76,38.72,PayPal,,0.126379006
ORD-100099,13-08-2023,17-08-2023,Same Day,Cancelled,CUST-2411,David Carter,Corporate,South,Florida,Jacksonville,PRD-1004,Smartphones Item 5,Electronics,Smartphones,317.78,1,0,317.78,317.78,108.82,PayPal,,0.342438165
ORD-100100,05-08-2022,10-08-2022,First Class,Delivered,CUST-2026,Richard Carter,Consumer,East,Wisconsin,Green Bay,PRD-1059,Accessories Item 60,Clothing,Accessories,50.47,6,0,302.82,1816.92,98.03,Bank Transfer,,0.323723664
ORD-100101,29-02-2024,01-03-2024,Same Day,Returned,CUST-4538,Mary Garcia,Consumer,Central,Nebraska,Bellevue,PRD-1117,Frozen Foods Item 18,Food & Beverage,Frozen Foods,37.85,1,0.2,30.28,30.28,4.27,Bank Transfer,,0.141017173
ORD-100102,17-05-2022,22-05-2022,Same Day,Delivered,CUST-3805,Margaret Allen,Consumer,North,Pennsylvania,Pittsburgh,PRD-1201,Cleaning Item 2,Home & Kitchen,Cleaning,89.57,3,0,268.71,806.13,92.92,Bank Transfer,,0.345800305
ORD-100103,28-03-2023,30-03-2023,Standard Class,Delivered,CUST-2517,Amanda Carter,Consumer,South,North Carolina,Charlotte,PRD-1139,Cycling Item 40,Sports,Cycling,97.41,1,0.25,73.06,73.06,14.6,Cash,,0.199835751
ORD-100104,02-11-2022,09-11-2022,Second Class,Delivered,CUST-3953,Christopher Jackson,Home Office,West,Arizona,Tucson,PRD-1225,Makeup Item 26,Beauty,Makeup,8.36,6,0.05,47.65,285.9,20.86,Debit Card,,0.437775446
ORD-100105,14-04-2021,17-04-2021,Standard Class,Returned,CUST-3447,Emily Young,Corporate,North,Connecticut,Bridgeport,PRD-1135,Team Sports Item 36,Sports,Team Sports,229.07,2,0.1,412.33,824.66,62.68,Gift Card,,0.152014163
ORD-100106,30-10-2023,02-11-2023,Second Class,Delivered,CUST-3252,Karen Evans,Corporate,North,Pennsylvania,Philadelphia,PRD-1194,Bedding Item 95,Home & Kitchen,Bedding,227.55,2,0,455.1,910.2,137.85,Cash,,0.302900461
ORD-100107,21-03-2021,23-03-2021,Second Class,Cancelled,CUST-2364,Emily Campbell,Consumer,Central,Minnesota,Minneapolis,PRD-1176,Comics Item 77,Books,Comics,17.19,10,0.15,146.12,1461.2,27.87,PayPal,,0.190733644
